Year,Home_Team,HTScore,Away_Team,ATScore,Winner,Winning_score,Loser,Losing_score,Draw

2001,"
Bristol Bears ",43," Harlequins
",27,"
Bristol Bears ",43," Harlequins
",27,0

2001,"
Wasps ",36," Leicester Tigers
",24,"
Wasps ",36," Leicester Tigers
",24,0

2001,"
Wasps ",44,"Gloucester Rugby
",9 ,"Gloucester Rugby
",9 ,"
Wasps ",44,0

2001,"
London Irish ",31," Bath Rugby
",15,"
London Irish ",31," Bath Rugby
",15,0

2001,"
Bath Rugby ",23," Leeds Tykes
",12,"
Bath Rugby ",23," Leeds Tykes
",12,0

2001,"
Northampton Saints ",58," Gloucester Rugby
",21,"
Northampton Saints ",58," Gloucester Rugby
",21,0

2001,"
Leicester Tigers ",20," Newcastle Falcons
",12,"
Leicester Tigers ",20," Newcastle Falcons
",12,0

2001,"
Sale Sharks ",53," Bristol Bears
",47,"
Sale Sharks ",53," Bristol Bears
",47,0

2001,"
London Irish ",18," Harlequins
",18,Draw,0,Draw,0,1

2001,"
Saracens ",14," Wasps
",20," Wasps
",20,"
Saracens ",14,0

2001,"
Leicester Tigers ",31," Leeds Tykes
",10,"
Leicester Tigers ",31," Leeds Tykes
",10,0

2001,"
Sale Sharks ",23,"Saracens
",3 ,"Saracens
",3 ,"
Sale Sharks ",23,0

2001,"
Bristol Bears ",40," Gloucester Rugby
",41," Gloucester Rugby
",41,"
Bristol Bears ",40,0

2001,"
Wasps ",16,"Harlequins
",6 ,"Harlequins
",6 ,"
Wasps ",16,0

2001,"
Northampton Saints ",52," Saracens
",27,"
Northampton Saints ",52," Saracens
",27,0

2001,"
Newcastle Falcons ",36,"Bath Rugby
",9 ,"Bath Rugby
",9 ,"
Newcastle Falcons ",36,0

2001,"
Harlequins ",40," Leeds Tykes
",16,"
Harlequins ",40," Leeds Tykes
",16,0

2001,"
Gloucester Rugby ",68," Bath Rugby
",12,"
Gloucester Rugby ",68," Bath Rugby
",12,0

2001,"
Wasps ",17,"Northampton Saints
",6 ,"Northampton Saints
",6 ,"
Wasps ",17,0

2001,"
Newcastle Falcons ",47," Saracens
",18,"
Newcastle Falcons ",47," Saracens
",18,0

2001,"
Bristol Bears ",38," Leicester Tigers
",21,"
Bristol Bears ",38," Leicester Tigers
",21,0

2001,"
London Irish ",32," Sale Sharks
",36," Sale Sharks
",36,"
London Irish ",32,0

2001,"
Newcastle Falcons ",33," London Irish
",28,"
Newcastle Falcons ",33," London Irish
",28,0

2001,"
Sale Sharks ",35," Leeds Tykes
",20,"
Sale Sharks ",35," Leeds Tykes
",20,0

2001,"
Bristol Bears ",27," Northampton Saints
",37," Northampton Saints
",37,"
Bristol Bears ",27,0

2001,"
Bath Rugby ",22," Wasps
",24," Wasps
",24,"
Bath Rugby ",22,0

2001,"
Leeds Tykes ",17," Gloucester Rugby
",50," Gloucester Rugby
",50,"
Leeds Tykes ",17,0

2001,"
Leicester Tigers ",34," London Irish
",16,"
Leicester Tigers ",34," London Irish
",16,0

2001,"
Northampton Saints ",24," Newcastle Falcons
",19,"
Northampton Saints ",24," Newcastle Falcons
",19,0

2001,"
Sale Sharks ",40," Harlequins
",11,"
Sale Sharks ",40," Harlequins
",11,0

2001,"
Saracens ",26," Bristol Bears
",28," Bristol Bears
",28,"
Saracens ",26,0

2002,"
Sale Sharks ",24," Northampton Saints
",21,"
Sale Sharks ",24," Northampton Saints
",21,0

2002,"
Leeds Tykes ",26," Leicester Tigers
",13,"
Leeds Tykes ",26," Leicester Tigers
",13,0

2002,"
Harlequins ",19," Gloucester Rugby
",25," Gloucester Rugby
",25,"
Harlequins ",19,0

2002,"
Newcastle Falcons ",24," Wasps
",17,"
Newcastle Falcons ",24," Wasps
",17,0

2002,"
Bristol Bears ",30," Saracens
",45," Saracens
",45,"
Bristol Bears ",30,0

2002,"
London Irish ",22," Bath Rugby
",24," Bath Rugby
",24,"
London Irish ",22,0

2002,"
Northampton Saints ",31," Newcastle Falcons
",13,"
Northampton Saints ",31," Newcastle Falcons
",13,0

2002,"
Gloucester Rugby ",44,"Sale Sharks
",8 ,"Sale Sharks
",8 ,"
Gloucester Rugby ",44,0

2002,"
Leicester Tigers ",30,"Harlequins
",6 ,"Harlequins
",6 ,"
Leicester Tigers ",30,0

2002,"
Leeds Tykes ",41," London Irish
",16,"
Leeds Tykes ",41," London Irish
",16,0

2002,"
Saracens ",28,"Bath Rugby
",3 ,"Bath Rugby
",3 ,"
Saracens ",28,0

2002,"
Wasps ",38," Bristol Bears
",35,"
Wasps ",38," Bristol Bears
",35,0

2002,"
Sale Sharks ",29," Leicester Tigers
",16,"
Sale Sharks ",29," Leicester Tigers
",16,0

2002,"
Bath Rugby ",27," Wasps
",27,Draw,0,Draw,0,1

2002,"
Harlequins ",23," Leeds Tykes
",33," Leeds Tykes
",33,"
Harlequins ",23,0

2002,"
Newcastle Falcons ",19," Gloucester Rugby
",22," Gloucester Rugby
",22,"
Newcastle Falcons ",19,0

2002,"
Bristol Bears ",28," Northampton Saints
",36," Northampton Saints
",36,"
Bristol Bears ",28,0

2002,"
London Irish ",32," Saracens
",10,"
London Irish ",32," Saracens
",10,0

2002,"
Leeds Tykes ",29," Sale Sharks
",29,Draw,0,Draw,0,1

2002,"
Gloucester Rugby ",45," Bristol Bears
",18,"
Gloucester Rugby ",45," Bristol Bears
",18,0

2002,"
Harlequins ",29," London Irish
",19,"
Harlequins ",29," London Irish
",19,0

2002,"
Leicester Tigers ",52,"Newcastle Falcons
",9 ,"Newcastle Falcons
",9 ,"
Leicester Tigers ",52,0

2002,"
Northampton Saints ",24,"Bath Rugby
",3 ,"Bath Rugby
",3 ,"
Northampton Saints ",24,0

2002,"
Wasps ",51," Saracens
",23,"
Wasps ",51," Saracens
",23,0

2002,"
Sale Sharks ",20," Harlequins
",16,"
Sale Sharks ",20," Harlequins
",16,0

2002,"
Saracens ",31," Northampton Saints
",19,"
Saracens ",31," Northampton Saints
",19,0

2002,"
Bath Rugby ",21," Gloucester Rugby
",21,Draw,0,Draw,0,1

2002,"
Newcastle Falcons ",27," Leeds Tykes
",20,"
Newcastle Falcons ",27," Leeds Tykes
",20,0

2002,"
Bristol Bears ",25," Leicester Tigers
",20,"
Bristol Bears ",25," Leicester Tigers
",20,0

2002,"
London Irish ",21," Wasps
",31," Wasps
",31,"
London Irish ",21,0

2002,"
Sale Sharks ",36," London Irish
",14,"
Sale Sharks ",36," London Irish
",14,0

2002,"
Gloucester Rugby ",44," Saracens
",14,"
Gloucester Rugby ",44," Saracens
",14,0

2002,"
Harlequins ",47," Newcastle Falcons
",23,"
Harlequins ",47," Newcastle Falcons
",23,0

2002,"
Leicester Tigers ",22," Bath Rugby
",20,"
Leicester Tigers ",22," Bath Rugby
",20,0

2002,"
Northampton Saints ",34," Wasps
",20,"
Northampton Saints ",34," Wasps
",20,0

2002,"
Leeds Tykes ",25," Bristol Bears
",13,"
Leeds Tykes ",25," Bristol Bears
",13,0

2002,"
Wasps ",23," Gloucester Rugby
",16,"
Wasps ",23," Gloucester Rugby
",16,0

2002,"
Bath Rugby ",20," Leeds Tykes
",22," Leeds Tykes
",22,"
Bath Rugby ",20,0

2002,"
Newcastle Falcons ",31," Sale Sharks
",20,"
Newcastle Falcons ",31," Sale Sharks
",20,0

2002,"
London Irish ",12," Northampton Saints
",14," Northampton Saints
",14,"
London Irish ",12,0

2002,"
Saracens ",18," Leicester Tigers
",26," Leicester Tigers
",26,"
Saracens ",18,0

2002,"
Sale Sharks ",28," Bristol Bears
",14,"
Sale Sharks ",28," Bristol Bears
",14,0

2002,"
Harlequins ",18,"Bath Rugby
",9 ,"Bath Rugby
",9 ,"
Harlequins ",18,0

2002,"
Gloucester Rugby ",18,"Northampton Saints
",9 ,"Northampton Saints
",9 ,"
Gloucester Rugby ",18,0

2002,"
Leicester Tigers", 9,"Wasps
",6 ,"
Leicester Tigers", 9,"Wasps
",6 ,0

2002,"
Leeds Tykes ",27," Saracens
",18,"
Leeds Tykes ",27," Saracens
",18,0

2002,"
Newcastle Falcons ",16," London Irish
",24," London Irish
",24,"
Newcastle Falcons ",16,0

2002,"
Northampton Saints", 3," Leicester Tigers
",16,"
Northampton Saints", 3," Leicester Tigers
",16,0

2002,"
Bath Rugby ",24," Sale Sharks
",18,"
Bath Rugby ",24," Sale Sharks
",18,0

2002,"
London Irish ",19," Gloucester Rugby
",40," Gloucester Rugby
",40,"
London Irish ",19,0

2002,"
Bristol Bears ",38," Newcastle Falcons
",10,"
Bristol Bears ",38," Newcastle Falcons
",10,0

2002,"
Saracens ",36," Harlequins
",30,"
Saracens ",36," Harlequins
",30,0

2002,"
Wasps ",27," Leeds Tykes
",27,Draw,0,Draw,0,1

2002,"
Leicester Tigers ",20," Gloucester Rugby
",15,"
Leicester Tigers ",20," Gloucester Rugby
",15,0

2002,"
Sale Sharks ",37," Saracens
",26,"
Sale Sharks ",37," Saracens
",26,0

2002,"
Leeds Tykes ",26," Northampton Saints
",19,"
Leeds Tykes ",26," Northampton Saints
",19,0

2002,"
Newcastle Falcons ",20," Bath Rugby
",24," Bath Rugby
",24,"
Newcastle Falcons ",20,0

2002,"
Bristol Bears ",32," London Irish
",32,Draw,0,Draw,0,1

2002,"
Harlequins ",27," Wasps
",14,"
Harlequins ",27," Wasps
",14,0

2002,"
Northampton Saints ",35,"Harlequins
",7 ,"Harlequins
",7 ,"
Northampton Saints ",35,0

2002,"
Bath Rugby ",19," Bristol Bears
",30," Bristol Bears
",30,"
Bath Rugby ",19,0

2002,"
Gloucester Rugby ",28," Leeds Tykes
",10,"
Gloucester Rugby ",28," Leeds Tykes
",10,0

2002,"
London Irish ",27,"Leicester Tigers
",7 ,"Leicester Tigers
",7 ,"
London Irish ",27,0

2002,"
Saracens ",17," Newcastle Falcons
",13,"
Saracens ",17," Newcastle Falcons
",13,0

2002,"
Wasps ",25," Sale Sharks
",32," Sale Sharks
",32,"
Wasps ",25,0

2002,"
Sale Sharks ",36," Bath Rugby
",18,"
Sale Sharks ",36," Bath Rugby
",18,0

2002,"
Gloucester Rugby ",25," London Irish
",20,"
Gloucester Rugby ",25," London Irish
",20,0

2002,"
Harlequins ",36," Saracens
",32,"
Harlequins ",36," Saracens
",32,0

2002,"
Leicester Tigers ",12," Northampton Saints
",25," Northampton Saints
",25,"
Leicester Tigers ",12,0

2002,"
Leeds Tykes ",15," Wasps
",18," Wasps
",18,"
Leeds Tykes ",15,0

2002,"
Newcastle Falcons ",12," Bristol Bears
",20," Bristol Bears
",20,"
Newcastle Falcons ",12,0

2002,"
Wasps ",26," Leicester Tigers
",13,"
Wasps ",26," Leicester Tigers
",13,0

2002,"
Bath Rugby ",23,"Harlequins
",9 ,"Harlequins
",9 ,"
Bath Rugby ",23,0

2002,"
Northampton Saints ",13," Gloucester Rugby
",16," Gloucester Rugby
",16,"
Northampton Saints ",13,0

2002,"
Bristol Bears ",18,"Sale Sharks
",6 ,"Sale Sharks
",6 ,"
Bristol Bears ",18,0

2002,"
London Irish ",20,"Newcastle Falcons
",0 ,"
London Irish ",20,"Newcastle Falcons
",0 ,0

2002,"
Saracens ",11,"Leeds Tykes
",6 ,"Leeds Tykes
",6 ,"
Saracens ",11,0

2002,"
Leeds Tykes ",20,"Bath Rugby
",7 ,"Bath Rugby
",7 ,"
Leeds Tykes ",20,0

2002,"
Sale Sharks ",38,"Newcastle Falcons
",3 ,"Newcastle Falcons
",3 ,"
Sale Sharks ",38,0

2002,"
Gloucester Rugby ",24," Wasps
",17,"
Gloucester Rugby ",24," Wasps
",17,0

2002,"
Harlequins ",26," Bristol Bears
",17,"
Harlequins ",26," Bristol Bears
",17,0

2002,"
Leicester Tigers ",23," Saracens
",18,"
Leicester Tigers ",23," Saracens
",18,0

2002,"
Northampton Saints ",10," London Irish
",22," London Irish
",22,"
Northampton Saints ",10,0

2002,"
Newcastle Falcons ",32," Harlequins
",17,"
Newcastle Falcons ",32," Harlequins
",17,0

2002,"
Bath Rugby", 8," Leicester Tigers
",15,"
Bath Rugby", 8," Leicester Tigers
",15,0

2002,"
Bristol Bears ",12," Leeds Tykes
",17," Leeds Tykes
",17,"
Bristol Bears ",12,0

2002,"
London Irish ",11," Sale Sharks
",23," Sale Sharks
",23,"
London Irish ",11,0

2002,"
Saracens ",22," Gloucester Rugby
",29," Gloucester Rugby
",29,"
Saracens ",22,0

2002,"
Wasps ",16,"Northampton Saints
",9 ,"Northampton Saints
",9 ,"
Wasps ",16,0

2002,"
Leeds Tykes ",12," Newcastle Falcons
",17," Newcastle Falcons
",17,"
Leeds Tykes ",12,0

2002,"
Leicester Tigers ",40,"Bristol Bears
",6 ,"Bristol Bears
",6 ,"
Leicester Tigers ",40,0

2002,"
Gloucester Rugby ",29," Bath Rugby
",16,"
Gloucester Rugby ",29," Bath Rugby
",16,0

2002,"
Harlequins", 0," Sale Sharks
",45,"
Harlequins", 0," Sale Sharks
",45,0

2002,"
Northampton Saints ",34," Saracens
",25,"
Northampton Saints ",34," Saracens
",25,0

2002,"
Wasps ",35," London Irish
",11,"
Wasps ",35," London Irish
",11,0

2002,"
Bath Rugby ",30,"Saracens
",9 ,"Saracens
",9 ,"
Bath Rugby ",30,0

2002,"
Wasps ",13," Newcastle Falcons
",12,"
Wasps ",13," Newcastle Falcons
",12,0

2002,"
Bristol Bears ",48," Harlequins
",41,"
Bristol Bears ",48," Harlequins
",41,0

2002,"
Bath Rugby ",10," Northampton Saints
",27," Northampton Saints
",27,"
Bath Rugby ",10,0

2002,"
Sale Sharks ",32," Leeds Tykes
",20,"
Sale Sharks ",32," Leeds Tykes
",20,0

2002,"
London Irish", 6," Harlequins
",16,"
London Irish", 6," Harlequins
",16,0

2002,"
Newcastle Falcons ",24," Leicester Tigers
",22,"
Newcastle Falcons ",24," Leicester Tigers
",22,0

2002,"
Bristol Bears ",21," Gloucester Rugby
",38," Gloucester Rugby
",38,"
Bristol Bears ",21,0

2002,"
Saracens ",31," Wasps
",42," Wasps
",42,"
Saracens ",31,0

2002,"
Leeds Tykes ",23," Harlequins
",22,"
Leeds Tykes ",23," Harlequins
",22,0

2002,"
Saracens ",12," London Irish
",14," London Irish
",14,"
Saracens ",12,0

2002,"
Wasps ",36," Bath Rugby
",17,"
Wasps ",36," Bath Rugby
",17,0

2002,"
Leicester Tigers ",33," Sale Sharks
",20,"
Leicester Tigers ",33," Sale Sharks
",20,0

2002,"
Bath Rugby ",18," London Irish
",15,"
Bath Rugby ",18," London Irish
",15,0

2002,"
Gloucester Rugby ",25," Newcastle Falcons
",23,"
Gloucester Rugby ",25," Newcastle Falcons
",23,0

2002,"
Northampton Saints ",43," Bristol Bears
",13,"
Northampton Saints ",43," Bristol Bears
",13,0

2002,"
Sale Sharks ",30," Gloucester Rugby
",30,Draw,0,Draw,0,1

2002,"
Harlequins ",17,"Leicester Tigers
",9 ,"Leicester Tigers
",9 ,"
Harlequins ",17,0

2002,"
Bristol Bears ",19," Wasps
",34," Wasps
",34,"
Bristol Bears ",19,0

2002,"
London Irish ",14," Leeds Tykes
",26," Leeds Tykes
",26,"
London Irish ",14,0

2002,"
Newcastle Falcons ",22," Northampton Saints
",20,"
Newcastle Falcons ",22," Northampton Saints
",20,0

2002,"
Gloucester Rugby ",29," Harlequins
",11,"
Gloucester Rugby ",29," Harlequins
",11,0

2002,"
Leicester Tigers ",18," Leeds Tykes
",17,"
Leicester Tigers ",18," Leeds Tykes
",17,0

2002,"
Northampton Saints ",27," Sale Sharks
",17,"
Northampton Saints ",27," Sale Sharks
",17,0

2002,"
Saracens ",17," Bristol Bears
",16,"
Saracens ",17," Bristol Bears
",16,0

2002,"
Harlequins ",19," Northampton Saints
",31," Northampton Saints
",31,"
Harlequins ",19,0

2002,"
Leicester Tigers ",19," London Irish
",20," London Irish
",20,"
Leicester Tigers ",19,0

2002,"
Sale Sharks", 9," Wasps
",16,"
Sale Sharks", 9," Wasps
",16,0

2002,"
Leeds Tykes ",30," Gloucester Rugby
",23,"
Leeds Tykes ",30," Gloucester Rugby
",23,0

2002,"
Bristol Bears ",30," Bath Rugby
",20,"
Bristol Bears ",30," Bath Rugby
",20,0

2002,"
Newcastle Falcons ",26," Saracens
",22,"
Newcastle Falcons ",26," Saracens
",22,0

2002,"
Bath Rugby ",24," Newcastle Falcons
",12,"
Bath Rugby ",24," Newcastle Falcons
",12,0

2002,"
Gloucester Rugby ",31," Leicester Tigers
",13,"
Gloucester Rugby ",31," Leicester Tigers
",13,0

2002,"
London Irish ",41," Bristol Bears
",21,"
London Irish ",41," Bristol Bears
",21,0

2002,"
Northampton Saints ",28,"Leeds Tykes
",6 ,"Leeds Tykes
",6 ,"
Northampton Saints ",28,0

2002,"
Saracens ",34," Sale Sharks
",19,"
Saracens ",34," Sale Sharks
",19,0

2002,"
Wasps ",21," Harlequins
",25," Harlequins
",25,"
Wasps ",21,0

2002,      Wasps ,19," Northampton Saints
",10,      Wasps ,19," Northampton Saints
",10,0

2002,      Gloucester Rugby, 3," Wasps
",39,      Gloucester Rugby, 3," Wasps
",39,0

2003,"
Sale Sharks ",37," Northampton Saints
",37,Draw,0,Draw,0,1

2003,"
Harlequins ",33," Wasps
",27,"
Harlequins ",33," Wasps
",27,0

2003,"
Gloucester Rugby ",22,"Rotherham Titans
",8 ,"Rotherham Titans
",8 ,"
Gloucester Rugby ",22,0

2003,"
Leicester Tigers ",29," London Irish
",19,"
Leicester Tigers ",29," London Irish
",19,0

2003,"
Leeds Tykes ",32," Bath Rugby
",44," Bath Rugby
",44,"
Leeds Tykes ",32,0

2003,"
Newcastle Falcons ",20," Saracens
",25," Saracens
",25,"
Newcastle Falcons ",20,0

2003,"
Bath Rugby ",24,"Northampton Saints
",6 ,"Northampton Saints
",6 ,"
Bath Rugby ",24,0

2003,"
Rotherham Titans ",15," Harlequins
",43," Harlequins
",43,"
Rotherham Titans ",15,0

2003,"
London Irish ",16," Gloucester Rugby
",10,"
London Irish ",16," Gloucester Rugby
",10,0

2003,"
Newcastle Falcons", 9,"Sale Sharks
",8 ,"
Newcastle Falcons", 9,"Sale Sharks
",8 ,0

2003,"
Saracens ",19," Leicester Tigers
",19,Draw,0,Draw,0,1

2003,"
Wasps ",33," Leeds Tykes
",10,"
Wasps ",33," Leeds Tykes
",10,0

2003,"
Leicester Tigers ",28," Newcastle Falcons
",21,"
Leicester Tigers ",28," Newcastle Falcons
",21,0

2003,"
Sale Sharks", 9," Bath Rugby
",14,"
Sale Sharks", 9," Bath Rugby
",14,0

2003,"
Leeds Tykes ",23," Rotherham Titans
",13,"
Leeds Tykes ",23," Rotherham Titans
",13,0

2003,"
Gloucester Rugby ",30,"Saracens
",7 ,"Saracens
",7 ,"
Gloucester Rugby ",30,0

2003,"
Harlequins ",15," London Irish
",10,"
Harlequins ",15," London Irish
",10,0

2003,"
Northampton Saints ",27," Wasps
",17,"
Northampton Saints ",27," Wasps
",17,0

2003,"
Leicester Tigers ",16," Sale Sharks
",22," Sale Sharks
",22,"
Leicester Tigers ",16,0

2003,"
Rotherham Titans ",13," Northampton Saints
",42," Northampton Saints
",42,"
Rotherham Titans ",13,0

2003,"
Wasps ",19," Bath Rugby
",20," Bath Rugby
",20,"
Wasps ",19,0

2003,"
London Irish ",31," Leeds Tykes
",16,"
London Irish ",31," Leeds Tykes
",16,0

2003,"
Newcastle Falcons ",42," Gloucester Rugby
",22,"
Newcastle Falcons ",42," Gloucester Rugby
",22,0

2003,"
Saracens ",39," Harlequins
",33,"
Saracens ",39," Harlequins
",33,0

2003,"
Sale Sharks ",33," Wasps
",37," Wasps
",37,"
Sale Sharks ",33,0

2003,"
Bath Rugby ",47,"Rotherham Titans
",3 ,"
Bath Rugby ",47,"Rotherham Titans
",3 ,0

2003,"
Gloucester Rugby ",24,"Leicester Tigers
",3 ,"Leicester Tigers
",3 ,"
Gloucester Rugby ",24,0

2003,"
Harlequins ",18," Newcastle Falcons
",11,"
Harlequins ",18," Newcastle Falcons
",11,0

2003,"
Northampton Saints ",24," London Irish
",30," London Irish
",30,"
Northampton Saints ",24,0

2003,"
Leeds Tykes ",41," Saracens
",31,"
Leeds Tykes ",41," Saracens
",31,0

2003,"
Rotherham Titans ",14," Sale Sharks
",28," Sale Sharks
",28,"
Rotherham Titans ",14,0

2003,"
Harlequins", 0," Gloucester Rugby
",16,"
Harlequins", 0," Gloucester Rugby
",16,0

2003,"
Northampton Saints ",33," Newcastle Falcons
",20,"
Northampton Saints ",33," Newcastle Falcons
",20,0

2003,"
Bath Rugby ",25,"Saracens
",3 ,"Saracens
",3 ,"
Bath Rugby ",25,0

2003,"
Leeds Tykes ",39," Leicester Tigers
",18,"
Leeds Tykes ",39," Leicester Tigers
",18,0

2003,"
Wasps ",22," London Irish
",15,"
Wasps ",22," London Irish
",15,0

2003,"
Newcastle Falcons ",19," Bath Rugby
",17,"
Newcastle Falcons ",19," Bath Rugby
",17,0

2003,"
Gloucester Rugby ",24," Leeds Tykes
",19,"
Gloucester Rugby ",24," Leeds Tykes
",19,0

2003,"
Harlequins ",21," Sale Sharks
",30," Sale Sharks
",30,"
Harlequins ",21,0

2003,"
Leicester Tigers ",15," Northampton Saints
",32," Northampton Saints
",32,"
Leicester Tigers ",15,0

2003,"
London Irish ",47," Rotherham Titans
",26,"
London Irish ",47," Rotherham Titans
",26,0

2003,"
Saracens", 3," Wasps
",42,"
Saracens", 3," Wasps
",42,0

2003,"
Sale Sharks ",26," London Irish
",28," London Irish
",28,"
Sale Sharks ",26,0

2003,"
Leeds Tykes ",16," Harlequins
",30," Harlequins
",30,"
Leeds Tykes ",16,0

2003,"
Bath Rugby ",31," Leicester Tigers
",17,"
Bath Rugby ",31," Leicester Tigers
",17,0

2003,"
Northampton Saints ",30," Gloucester Rugby
",17,"
Northampton Saints ",30," Gloucester Rugby
",17,0

2003,"
Rotherham Titans ",12," Saracens
",25," Saracens
",25,"
Rotherham Titans ",12,0

2003,"
Wasps ",30," Newcastle Falcons
",26,"
Wasps ",30," Newcastle Falcons
",26,0

2003,"
Sale Sharks ",37," Leeds Tykes
",21,"
Sale Sharks ",37," Leeds Tykes
",21,0

2003,"
Gloucester Rugby ",14," Bath Rugby
",20," Bath Rugby
",20,"
Gloucester Rugby ",14,0

2003,"
Harlequins ",43," Northampton Saints
",21,"
Harlequins ",43," Northampton Saints
",21,0

2003,"
Leicester Tigers ",32," Wasps
",22,"
Leicester Tigers ",32," Wasps
",22,0

2003,"
Newcastle Falcons ",56," Rotherham Titans
",10,"
Newcastle Falcons ",56," Rotherham Titans
",10,0

2003,"
Saracens ",31," London Irish
",34," London Irish
",34,"
Saracens ",31,0

2003,"
Sale Sharks ",33,"Saracens
",3 ,"Saracens
",3 ,"
Sale Sharks ",33,0

2003,"
Wasps ",20," Gloucester Rugby
",12,"
Wasps ",20," Gloucester Rugby
",12,0

2003,"
Bath Rugby ",18," Harlequins
",10,"
Bath Rugby ",18," Harlequins
",10,0

2003,"
Northampton Saints ",48," Leeds Tykes
",24,"
Northampton Saints ",48," Leeds Tykes
",24,0

2003,"
Rotherham Titans ",17," Leicester Tigers
",27," Leicester Tigers
",27,"
Rotherham Titans ",17,0

2003,"
London Irish ",15," Newcastle Falcons
",19," Newcastle Falcons
",19,"
London Irish ",15,0

2003,"
Newcastle Falcons ",20," Wasps
",23," Wasps
",23,"
Newcastle Falcons ",20,0

2003,"
Gloucester Rugby ",28," Northampton Saints
",20,"
Gloucester Rugby ",28," Northampton Saints
",20,0

2003,"
Harlequins", 9," Leeds Tykes
",16,"
Harlequins", 9," Leeds Tykes
",16,0

2003,"
Leicester Tigers ",12," Bath Rugby
",13," Bath Rugby
",13,"
Leicester Tigers ",12,0

2003,"
London Irish", 9,"Sale Sharks
",3 ,"
London Irish", 9,"Sale Sharks
",3 ,0

2003,"
Saracens ",29," Rotherham Titans
",10,"
Saracens ",29," Rotherham Titans
",10,0

2003,"
Sale Sharks ",27," Harlequins
",27,Draw,0,Draw,0,1

2003,"
Rotherham Titans ",10," London Irish
",15," London Irish
",15,"
Rotherham Titans ",10,0

2003,"
Bath Rugby ",20," Newcastle Falcons
",10,"
Bath Rugby ",20," Newcastle Falcons
",10,0

2003,"
Northampton Saints ",14,"Leicester Tigers
",0 ,"
Northampton Saints ",14,"Leicester Tigers
",0 ,0

2003,"
Leeds Tykes ",22," Gloucester Rugby
",18,"
Leeds Tykes ",22," Gloucester Rugby
",18,0

2003,"
Wasps ",41,"Saracens
",0 ,"
Wasps ",41,"Saracens
",0 ,0

2003,"
Gloucester Rugby ",18," Harlequins
",17,"
Gloucester Rugby ",18," Harlequins
",17,0

2003,"
Leicester Tigers ",39," Leeds Tykes
",11,"
Leicester Tigers ",39," Leeds Tykes
",11,0

2003,"
Sale Sharks ",35,"Rotherham Titans
",7 ,"Rotherham Titans
",7 ,"
Sale Sharks ",35,0

2003,"
Saracens ",15," Bath Rugby
",24," Bath Rugby
",24,"
Saracens ",15,0

2003,"
London Irish ",19," Wasps
",34," Wasps
",34,"
London Irish ",19,0

2003,"
Newcastle Falcons ",23," Northampton Saints
",19,"
Newcastle Falcons ",23," Northampton Saints
",19,0

2003,"
Saracens ",27,"Leeds Tykes
",3 ,"Leeds Tykes
",3 ,"
Saracens ",27,0

2003,"
Leicester Tigers ",18," Gloucester Rugby
",28," Gloucester Rugby
",28,"
Leicester Tigers ",18,0

2003,"
Newcastle Falcons ",25," Harlequins
",29," Harlequins
",29,"
Newcastle Falcons ",25,0

2003,"
London Irish ",15," Northampton Saints
",36," Northampton Saints
",36,"
London Irish ",15,0

2003,"
Rotherham Titans ",18," Bath Rugby
",34," Bath Rugby
",34,"
Rotherham Titans ",18,0

2003,"
Wasps ",26," Sale Sharks
",10,"
Wasps ",26," Sale Sharks
",10,0

2003,"
Sale Sharks", 3,"Leicester Tigers
",3 ,"
Sale Sharks", 3,"Leicester Tigers
",3 ,0

2003,"
Leeds Tykes", 9," London Irish
",16,"
Leeds Tykes", 9," London Irish
",16,0

2003,"
Bath Rugby", 6," Wasps
",10,"
Bath Rugby", 6," Wasps
",10,0

2003,"
Gloucester Rugby ",36," Newcastle Falcons
",12,"
Gloucester Rugby ",36," Newcastle Falcons
",12,0

2003,"
Harlequins ",12," Saracens
",10,"
Harlequins ",12," Saracens
",10,0

2003,"
Northampton Saints ",18,"Rotherham Titans
",8 ,"Rotherham Titans
",8 ,"
Northampton Saints ",18,0

2003,"
Rotherham Titans ",20," Wasps
",27," Wasps
",27,"
Rotherham Titans ",20,0

2003,"
Gloucester Rugby ",38," Sale Sharks
",12,"
Gloucester Rugby ",38," Sale Sharks
",12,0

2003,"
Saracens ",18," Northampton Saints
",22," Northampton Saints
",22,"
Saracens ",18,0

2003,"
Newcastle Falcons ",25," Leeds Tykes
",28," Leeds Tykes
",28,"
Newcastle Falcons ",25,0

2003,"
Bath Rugby ",22," Leeds Tykes
",13,"
Bath Rugby ",22," Leeds Tykes
",13,0

2003,"
London Irish", 9," Leicester Tigers
",22,"
London Irish", 9," Leicester Tigers
",22,0

2003,"
Northampton Saints ",51," Sale Sharks
",12,"
Northampton Saints ",51," Sale Sharks
",12,0

2003,"
Rotherham Titans ",21," Gloucester Rugby
",35," Gloucester Rugby
",35,"
Rotherham Titans ",21,0

