Year,Home_Team,HTScore,Away_Team,ATScore,Winner,Winning_score,Loser,Losing_score,Draw
1997,"
Gloucester Rugby ",32," Leicester Tigers
",25,"
Gloucester Rugby ",32," Leicester Tigers
",25,0

1997,"
Sale Sharks ",41," London Irish
",16,"
Sale Sharks ",41," London Irish
",16,0

1997,"
Wasps ",32," Bristol Bears
",18,"
Wasps ",32," Bristol Bears
",18,0

1997,"
Bath Rugby ",47,"Gloucester Rugby
",3,"
Bath Rugby ",47,"Gloucester Rugby
",3,0

1997,"
Gloucester Rugby ",20," Northampton Saints
",15,"
Gloucester Rugby ",20," Northampton Saints
",15,0

1997,"
Bath Rugby ",43," Wasps
",27,"
Bath Rugby ",43," Wasps
",27,0

1997,"
Bristol Bears ",20," Saracens
",37," Saracens
",37,"
Bristol Bears ",20,0

1997,"
Leicester Tigers ",34," London Irish
",19,"
Leicester Tigers ",34," London Irish
",19,0

1997,"
Newcastle Falcons ",43," Harlequins
",15,"
Newcastle Falcons ",43," Harlequins
",15,0

1997,"
Richmond ",20," Sale Sharks
",28," Sale Sharks
",28,"
Richmond ",20,0

1997,"
London Irish ",38," Bristol Bears
",23,"
London Irish ",38," Bristol Bears
",23,0

1997,"
Saracens ",42," Sale Sharks
",20,"
Saracens ",42," Sale Sharks
",20,0

1997,"
Bath Rugby ",39," Harlequins
",13,"
Bath Rugby ",39," Harlequins
",13,0

1997,"
Bristol Bears ",24," Leicester Tigers
",27," Leicester Tigers
",27,"
Bristol Bears ",24,0

1997,"
Harlequins ",41," Richmond
",12,"
Harlequins ",41," Richmond
",12,0

1997,"
Leicester Tigers ",15," Northampton Saints
",15,Draw,0,Draw,0,1

1997,"
Bristol Bears ",16," Bath Rugby
",22," Bath Rugby
",22,"
Bristol Bears ",16,0

1997,"
Saracens ",33," Wasps
",27,"
Saracens ",33," Wasps
",27,0

1997,"
Newcastle Falcons ",23," Sale Sharks
",18,"
Newcastle Falcons ",23," Sale Sharks
",18,0

1997,"
Gloucester Rugby ",22," Wasps
",15,"
Gloucester Rugby ",22," Wasps
",15,0

1997,"
Bath Rugby ",16,"Leicester Tigers
",5,"
Bath Rugby ",16,"Leicester Tigers
",5,0

1997,"
Northampton Saints ",35," Bristol Bears
",12,"
Northampton Saints ",35," Bristol Bears
",12,0

1997,"
Richmond ",30," Newcastle Falcons
",17,"
Richmond ",30," Newcastle Falcons
",17,0

1997,"
Sale Sharks ",23," Harlequins
",13,"
Sale Sharks ",23," Harlequins
",13,0

1997,"
Gloucester Rugby ",38," Saracens
",15,"
Gloucester Rugby ",38," Saracens
",15,0

1997,"
Wasps ",19," London Irish
",38," London Irish
",38,"
Wasps ",19,0

1997,"
London Irish ",23," Gloucester Rugby
",19,"
London Irish ",23," Gloucester Rugby
",19,0

1997,"
Newcastle Falcons ",30," Saracens
",25,"
Newcastle Falcons ",30," Saracens
",25,0

1997,"
Leicester Tigers ",42," Richmond
",19,"
Leicester Tigers ",42," Richmond
",19,0

1997,"
London Irish ",35," Bath Rugby
",49," Bath Rugby
",49,"
London Irish ",35,0

1997,"
Harlequins ",36," Gloucester Rugby
",16,"
Harlequins ",36," Gloucester Rugby
",16,0

1997,"
Newcastle Falcons ",20," Wasps
",13,"
Newcastle Falcons ",20," Wasps
",13,0

1997,"
Bath Rugby ",13," Saracens
",29," Saracens
",29,"
Bath Rugby ",13,0

1997,"
Richmond ",43,"Bristol Bears
",3,"
Richmond ",43,"Bristol Bears
",3,0

1997,"
Gloucester Rugby ",27," Newcastle Falcons
",29," Newcastle Falcons
",29,"
Gloucester Rugby ",27,0

1997,"
Sale Sharks ",35," Leicester Tigers
",21,"
Sale Sharks ",35," Leicester Tigers
",21,0

1997,"
Wasps ",29," Harlequins
",26,"
Wasps ",29," Harlequins
",26,0

1997,"
Richmond ",32," Bath Rugby
",14,"
Richmond ",32," Bath Rugby
",14,0

1997,"
Bristol Bears ",15," Sale Sharks
",25," Sale Sharks
",25,"
Bristol Bears ",15,0

1997,"
Harlequins ",14," Leicester Tigers
",23," Leicester Tigers
",23,"
Harlequins ",14,0

1997,"
Gloucester Rugby ",27," Bath Rugby
",17,"
Gloucester Rugby ",27," Bath Rugby
",17,0

1997,"
Northampton Saints ",39," Richmond
",47," Richmond
",47,"
Northampton Saints ",39,0

1997,"
Sale Sharks ",28," Wasps
",28,Draw,0,Draw,0,1

1997,"
Bristol Bears",5," London Irish
",17," London Irish
",17,"
Bristol Bears",5,0

1997,"
Saracens ",12," Newcastle Falcons
",10,"
Saracens ",12," Newcastle Falcons
",10,0

1997,"
Northampton Saints ",33," London Irish
",18,"
Northampton Saints ",33," London Irish
",18,0

1997,"
Wasps ",18," Newcastle Falcons
",17,"
Wasps ",18," Newcastle Falcons
",17,0

1997,"
Leicester Tigers ",10," Saracens
",10,Draw,0,Draw,0,1

1997,"
Bath Rugby ",19," Sale Sharks
",29," Sale Sharks
",29,"
Bath Rugby ",19,0

1997,"
London Irish ",62," Harlequins
",14,"
London Irish ",62," Harlequins
",14,0

1997,"
Richmond ",33," Gloucester Rugby
",22,"
Richmond ",33," Gloucester Rugby
",22,0

1997,"
Newcastle Falcons ",43," Bristol Bears
",18,"
Newcastle Falcons ",43," Bristol Bears
",18,0

1997,"
Wasps ",31," Northampton Saints
",15,"
Wasps ",31," Northampton Saints
",15,0

1997,"
Bath Rugby ",20,"London Irish
",3,"
Bath Rugby ",20,"London Irish
",3,0

1997,"
Harlequins ",26," Saracens
",28," Saracens
",28,"
Harlequins ",26,0

1997,"
Wasps ",17," Leicester Tigers
",13,"
Wasps ",17," Leicester Tigers
",13,0

1997,"
Gloucester Rugby ",31," Sale Sharks
",19,"
Gloucester Rugby ",31," Sale Sharks
",19,0

1997,"
Northampton Saints ",16," Bath Rugby
",15,"
Northampton Saints ",16," Bath Rugby
",15,0

1997,"
Richmond ",51," Wasps
",29,"
Richmond ",51," Wasps
",29,0

1997,"
Bristol Bears ",19," Harlequins
",26," Harlequins
",26,"
Bristol Bears ",19,0

1997,"
Saracens ",29," London Irish
",21,"
Saracens ",29," London Irish
",21,0

1997,"
Newcastle Falcons ",27," Leicester Tigers
",10,"
Newcastle Falcons ",27," Leicester Tigers
",10,0

1997,"
Leicester Tigers ",34," Bristol Bears
",25,"
Leicester Tigers ",34," Bristol Bears
",25,0

1997,"
Sale Sharks ",30," Northampton Saints
",19,"
Sale Sharks ",30," Northampton Saints
",19,0

1997,"
Newcastle Falcons ",20," Bath Rugby
",15,"
Newcastle Falcons ",20," Bath Rugby
",15,0

1997,"
Saracens ",43," Northampton Saints
",20,"
Saracens ",43," Northampton Saints
",20,0

1997,"
Harlequins ",20," Newcastle Falcons
",44," Newcastle Falcons
",44,"
Harlequins ",20,0

1997,"
London Irish ",16," Leicester Tigers
",55," Leicester Tigers
",55,"
London Irish ",16,0

1997,"
Northampton Saints ",22," Gloucester Rugby
",24," Gloucester Rugby
",24,"
Northampton Saints ",22,0

1997,"
Sale Sharks ",28," Richmond
",40," Richmond
",40,"
Sale Sharks ",28,0

1997,"
Wasps ",17," Bath Rugby
",31," Bath Rugby
",31,"
Wasps ",17,0

1998,"
Richmond ",41," Newcastle Falcons
",29,"
Richmond ",41," Newcastle Falcons
",29,0

1998,"
Bath Rugby ",36," Wasps
",27,"
Bath Rugby ",36," Wasps
",27,0

1998,"
Gloucester Rugby ",29," London Irish
",22,"
Gloucester Rugby ",29," London Irish
",22,0

1998,"
Leicester Tigers ",49," Harlequins
",15,"
Leicester Tigers ",49," Harlequins
",15,0

1998,"
London Scottish ",25," Sale Sharks
",20,"
London Scottish ",25," Sale Sharks
",20,0

1998,"
Saracens ",34,"Northampton Saints
",7 ,"Northampton Saints
",7 ,"
Saracens ",34,0

1998,"
Newcastle Falcons ",19," Bath Rugby
",17,"
Newcastle Falcons ",19," Bath Rugby
",17,0

1998,"
London Scottish", 3," Leicester Tigers
",38,"
London Scottish", 3," Leicester Tigers
",38,0

1998,"
Northampton Saints ",25,"Harlequins
",6 ,"Harlequins
",6 ,"
Northampton Saints ",25,0

1998,"
Richmond ",22," Gloucester Rugby
",25," Gloucester Rugby
",25,"
Richmond ",22,0

1998,"
Sale Sharks ",39," Bedford Blues
",21,"
Sale Sharks ",39," Bedford Blues
",21,0

1998,"
West Hartlepool ",20," London Irish
",44," London Irish
",44,"
West Hartlepool ",20,0

1998,"
Leicester Tigers ",35," Northampton Saints
",25,"
Leicester Tigers ",35," Northampton Saints
",25,0

1998,"
Bath Rugby ",36," Richmond
",14,"
Bath Rugby ",36," Richmond
",14,0

1998,"
Bedford Blues ",24," London Scottish
",16,"
Bedford Blues ",24," London Scottish
",16,0

1998,"
London Irish ",24," Wasps
",36," Wasps
",36,"
London Irish ",24,0

1998,"
Gloucester Rugby ",36,"West Hartlepool
",3 ,"West Hartlepool
",3 ,"
Gloucester Rugby ",36,0

1998,"
Saracens ",43," Sale Sharks
",26,"
Saracens ",43," Sale Sharks
",26,0

1998,"
Bedford Blues ",23," Leicester Tigers
",32," Leicester Tigers
",32,"
Bedford Blues ",23,0

1998,"
Bath Rugby ",21," Gloucester Rugby
",16,"
Bath Rugby ",21," Gloucester Rugby
",16,0

1998,"
London Scottish ",20," Saracens
",58," Saracens
",58,"
London Scottish ",20,0

1998,"
Sale Sharks ",44," Harlequins
",34,"
Sale Sharks ",44," Harlequins
",34,0

1998,"
Newcastle Falcons ",21," London Irish
",23," London Irish
",23,"
Newcastle Falcons ",21,0

1998,"
Wasps ",71," West Hartlepool
",14,"
Wasps ",71," West Hartlepool
",14,0

1998,"
Gloucester Rugby ",12," Wasps
",13," Wasps
",13,"
Gloucester Rugby ",12,0

1998,"
Bath Rugby ",57," Bedford Blues
",19,"
Bath Rugby ",57," Bedford Blues
",19,0

1998,"
Harlequins ",22," London Scottish
",20,"
Harlequins ",22," London Scottish
",20,0

1998,"
London Irish ",29," Richmond
",33," Richmond
",33,"
London Irish ",29,0

1998,"
Northampton Saints ",37," Sale Sharks
",17,"
Northampton Saints ",37," Sale Sharks
",17,0

1998,"
West Hartlepool ",19," Newcastle Falcons
",24," Newcastle Falcons
",24,"
West Hartlepool ",19,0

1998,"
Bath Rugby ",23," London Irish
",20,"
Bath Rugby ",23," London Irish
",20,0

1998,"
Bedford Blues ",35," Harlequins
",33,"
Bedford Blues ",35," Harlequins
",33,0

1998,"
Richmond ",41," West Hartlepool
",23,"
Richmond ",41," West Hartlepool
",23,0

1998,"
London Scottish ",22," Northampton Saints
",33," Northampton Saints
",33,"
London Scottish ",22,0

