Year,WP1,HWP,AWP,APPG1,WP2,HWP2,AWP2,APPG2,Score,Winner,WPT,HWPT,AWPT,APPG
1997,60.0,88.889,36.364,27.2,38.0,63.636,10.0,22.0,24,0,22.0,25.253,26.364,5.2
1997,27.0,36.364,18.182,20.773,55.0,72.727,36.364,27.591,-31,1,-28.0,-36.363,-18.182,-6.818
1997,9.0,9.091,9.091,15.955,52.0,81.818,20.0,23.238,-1,1,-43.0,-72.727,-10.909,-7.283
1997,36.0,45.455,27.273,23.455,43.0,54.545,30.0,22.762,-25,1,-7.0,-9.09,-2.727,0.693
1997,55.0,72.727,36.364,27.591,86.0,90.909,80.0,27.333,-5,1,-31.0,-18.182,-43.636,0.258
1997,43.0,54.545,30.0,22.762,86.0,100.0,72.727,29.318,-4,1,-43.0,-45.455,-42.727,-6.556
1997,52.0,81.818,20.0,23.238,60.0,88.889,36.364,27.2,7,0,-8.0,-7.071,-16.364,-3.962
1997,50.0,55.556,45.455,27.65,27.0,36.364,18.182,20.773,25,0,23.0,19.192,27.273,6.877
1997,38.0,63.636,10.0,22.0,9.0,9.091,9.091,15.955,14,0,29.0,54.545,0.909,6.045
1997,59.0,72.727,45.455,26.136,52.0,81.818,20.0,23.238,44,0,7.0,-9.091,25.455,2.898
1997,52.0,81.818,20.0,23.238,43.0,54.545,30.0,22.762,5,0,9.0,27.273,-10.0,0.476
1997,59.0,72.727,45.455,26.136,38.0,63.636,10.0,22.0,16,0,21.0,9.091,35.455,4.136
1997,9.0,9.091,9.091,15.955,86.0,90.909,80.0,27.333,-17,1,-77.0,-81.818,-70.909,-11.378
1997,60.0,88.889,36.364,27.2,27.0,36.364,18.182,20.773,15,0,33.0,52.525,18.182,6.427
1997,86.0,100.0,72.727,29.318,36.0,45.455,27.273,23.455,28,0,50.0,54.545,45.454,5.863
1997,55.0,72.727,36.364,27.591,50.0,55.556,45.455,27.65,-8,1,5.0,17.171,-9.091,-0.059
1997,27.0,36.364,18.182,20.773,9.0,9.091,9.091,15.955,15,0,18.0,27.273,9.091,4.818
1997,86.0,90.909,80.0,27.333,50.0,55.556,45.455,27.65,22,0,36.0,35.353,34.545,-0.317
1997,59.0,72.727,45.455,26.136,36.0,45.455,27.273,23.455,26,0,23.0,27.272,18.182,2.681
1997,9.0,9.091,9.091,15.955,60.0,88.889,36.364,27.2,-3,1,-51.0,-79.798,-27.273,-11.245
1997,36.0,45.455,27.273,23.455,55.0,72.727,36.364,27.591,29,0,-19.0,-27.272,-9.091,-4.136
1997,9.0,9.091,9.091,15.955,59.0,72.727,45.455,26.136,-6,1,-50.0,-63.636,-36.364,-10.181
1997,86.0,90.909,80.0,27.333,38.0,63.636,10.0,22.0,6,0,48.0,27.273,70.0,5.333
1997,86.0,100.0,72.727,29.318,50.0,55.556,45.455,27.65,5,0,36.0,44.444,27.272,1.668
1997,52.0,81.818,20.0,23.238,38.0,63.636,10.0,22.0,7,0,14.0,18.182,10.0,1.238
1997,59.0,72.727,45.455,26.136,60.0,88.889,36.364,27.2,11,0,-1.0,-16.162,9.091,-1.064
1997,43.0,54.545,30.0,22.762,9.0,9.091,9.091,15.955,23,0,34.0,45.454,20.909,6.807
1997,55.0,72.727,36.364,27.591,86.0,100.0,72.727,29.318,13,0,-31.0,-27.273,-36.363,-1.727
1997,50.0,55.556,45.455,27.65,36.0,45.455,27.273,23.455,10,0,14.0,10.101,18.182,4.195
1997,52.0,81.818,20.0,23.238,86.0,90.909,80.0,27.333,23,0,-34.0,-9.091,-60.0,-4.095
1997,38.0,63.636,10.0,22.0,27.0,36.364,18.182,20.773,-19,1,11.0,27.272,-8.182,1.227
1997,27.0,36.364,18.182,20.773,52.0,81.818,20.0,23.238,4,0,-25.0,-45.454,-1.818,-2.465
1997,86.0,100.0,72.727,29.318,86.0,90.909,80.0,27.333,5,0,0.0,9.091,-7.273,1.985
1997,60.0,88.889,36.364,27.2,55.0,72.727,36.364,27.591,23,0,5.0,16.162,0.0,-0.391
1997,27.0,36.364,18.182,20.773,59.0,72.727,45.455,26.136,-14,1,-32.0,-36.363,-27.273,-5.363
1997,36.0,45.455,27.273,23.455,52.0,81.818,20.0,23.238,20,0,-16.0,-36.363,7.273,0.217
1997,86.0,100.0,72.727,29.318,38.0,63.636,10.0,22.0,7,0,48.0,36.364,62.727,7.318
1997,59.0,72.727,45.455,26.136,86.0,90.909,80.0,27.333,-16,1,-27.0,-18.182,-34.545,-1.197
1997,55.0,72.727,36.364,27.591,9.0,9.091,9.091,15.955,40,0,46.0,63.636,27.273,11.636
1997,52.0,81.818,20.0,23.238,86.0,100.0,72.727,29.318,-2,1,-34.0,-18.182,-52.727,-6.08
1997,50.0,55.556,45.455,27.65,60.0,88.889,36.364,27.2,14,0,-10.0,-33.333,9.091,0.45
1997,38.0,63.636,10.0,22.0,36.0,45.455,27.273,23.455,3,0,2.0,18.181,-17.273,-1.455
1997,55.0,72.727,36.364,27.591,59.0,72.727,45.455,26.136,18,0,-4.0,0.0,-9.091,1.455
1997,9.0,9.091,9.091,15.955,50.0,55.556,45.455,27.65,-10,1,-41.0,-46.465,-36.364,-11.695
1997,36.0,45.455,27.273,23.455,60.0,88.889,36.364,27.2,-9,1,-24.0,-43.434,-9.091,-3.745
1997,52.0,81.818,20.0,23.238,59.0,72.727,45.455,26.136,10,0,-7.0,9.091,-25.455,-2.898
1997,43.0,54.545,30.0,22.762,55.0,72.727,36.364,27.591,-8,1,-12.0,-18.182,-6.364,-4.829
1997,9.0,9.091,9.091,15.955,27.0,36.364,18.182,20.773,-12,1,-18.0,-27.273,-9.091,-4.818
1997,86.0,90.909,80.0,27.333,86.0,100.0,72.727,29.318,2,0,0.0,-9.091,7.273,-1.985
1997,43.0,54.545,30.0,22.762,27.0,36.364,18.182,20.773,15,0,16.0,18.181,11.818,1.989
1997,38.0,63.636,10.0,22.0,86.0,100.0,72.727,29.318,1,0,-48.0,-36.364,-62.727,-7.318
1997,59.0,72.727,45.455,26.136,50.0,55.556,45.455,27.65,-10,1,9.0,17.171,0.0,-1.514
1997,27.0,36.364,18.182,20.773,36.0,45.455,27.273,23.455,48,0,-9.0,-9.091,-9.091,-2.682
1997,55.0,72.727,36.364,27.591,52.0,81.818,20.0,23.238,11,0,3.0,-9.091,16.364,4.353
1997,86.0,100.0,72.727,29.318,9.0,9.091,9.091,15.955,25,0,77.0,90.909,63.636,13.363
1997,38.0,63.636,10.0,22.0,43.0,54.545,30.0,22.762,16,0,-5.0,9.091,-20.0,-0.762
1997,59.0,72.727,45.455,26.136,27.0,36.364,18.182,20.773,17,0,32.0,36.363,27.273,5.363
1997,36.0,45.455,27.273,23.455,86.0,90.909,80.0,27.333,-2,1,-50.0,-45.454,-52.727,-3.878
1997,38.0,63.636,10.0,22.0,60.0,88.889,36.364,27.2,4,0,-22.0,-25.253,-26.364,-5.2
1997,52.0,81.818,20.0,23.238,50.0,55.556,45.455,27.65,12,0,2.0,26.262,-25.455,-4.412
1997,43.0,54.545,30.0,22.762,59.0,72.727,45.455,26.136,1,0,-16.0,-18.182,-15.455,-3.374
1997,55.0,72.727,36.364,27.591,38.0,63.636,10.0,22.0,22,0,17.0,9.091,26.364,5.591
1997,9.0,9.091,9.091,15.955,36.0,45.455,27.273,23.455,-7,1,-27.0,-36.364,-18.182,-7.5
1997,86.0,90.909,80.0,27.333,27.0,36.364,18.182,20.773,8,0,59.0,54.545,61.818,6.56
1997,86.0,100.0,72.727,29.318,60.0,88.889,36.364,27.2,17,0,26.0,11.111,36.363,2.118
1997,60.0,88.889,36.364,27.2,9.0,9.091,9.091,15.955,9,0,51.0,79.798,27.273,11.245
1997,50.0,55.556,45.455,27.65,43.0,54.545,30.0,22.762,11,0,7.0,1.011,15.455,4.888
1997,86.0,100.0,72.727,29.318,59.0,72.727,45.455,26.136,5,0,27.0,27.273,27.272,3.182
1997,86.0,90.909,80.0,27.333,43.0,54.545,30.0,22.762,23,0,43.0,36.364,50.0,4.571
1997,36.0,45.455,27.273,23.455,86.0,100.0,72.727,29.318,-24,1,-50.0,-54.545,-45.454,-5.863
1997,27.0,36.364,18.182,20.773,60.0,88.889,36.364,27.2,-39,1,-33.0,-52.525,-18.182,-6.427
1997,43.0,54.545,30.0,22.762,52.0,81.818,20.0,23.238,-2,1,-9.0,-27.273,10.0,-0.476
1997,50.0,55.556,45.455,27.65,55.0,72.727,36.364,27.591,-12,1,-5.0,-17.171,9.091,0.059
1997,38.0,63.636,10.0,22.0,59.0,72.727,45.455,26.136,-14,1,-21.0,-9.091,-35.455,-4.136
1998,46.0,46.154,45.455,23.667,54.0,84.615,23.077,27.654,12,0,-8.0,-38.461,22.378,-3.987
1998,62.0,76.923,46.154,26.846,52.0,66.667,38.462,28.08,9,0,10.0,10.256,7.692,-1.234
